nomor;mxid_cmp_d3d1;lq45_cmp_d3d1;hsce_cmp_d3d1;usd_cmp_d3d1;mxidlarge_cmp_d3d1;mxidfin_cmp_d3d1;klse_cmp_d3d1;masiaem_cmp_d3d1;mxidscl_cmp_d3d1;mxapj_cmp_d3d1;kospi_cmp_d3d1;mxidmid_cmp_d3d1;yenidr_cmp_d3d1;set_cmp_d3d1;djia_cmp_d3d1;mxasj_cmp_d3d1;gbpidr_cmp_d3d1;as51_cmp_d3d1;mxap_cmp_d3d1;mxwd_cmp_d3d1;sp500_cmp_d3d1;hsi_cmp_d3d1;twse_cmp_d3d1;smi_cmp_d3d1;as30_cmp_d3d1;cac40_cmp_d3d1;msciw_cmp_d3d1;ftse_cmp_d3d1;nikkei225_cmp_d3d1;msciem_cmp_d3d1;ibex_cmp_d3d1;omx_cmp_d3d1;stoxx_cmp_d3d1;nasdaq_cmp_d3d1;topix_cmp_d3d1;dax_cmp_d3d1;pcomp_cmp_d3d1;nifty_cmp_d3d1;euro_cmp_d3d1;sensex_cmp_d3d1;yen_cmp_d3d1;dxy_cmp_d3d1;xaud_cmp_d3d1;pounds_cmp_d3d1;wti_cmp_d3d1;szcomp_cmp_d3d1;brent_cmp_d3d1;cpo_cmp_d3d1;shcomp_cmp_d3d1;Tekanan
11;-2.850081847;-3.114761714;-2.33492311;0.101868623;-5.202171161;-1.741868412;0.168268025;-2.078693722;-1.016278131;-1.528123767;-3.581275739;-2.000301168;0.2530721;0.481571073;-1.752189231;-1.701252836;1.303391691;-0.568289385;-1.832677771;-0.911169619;-0.656419702;-3.760998035;-1.160829395;-1.821205612;-0.487824638;0.538063646;-0.908076804;-2.374702588;-1.057966363;-2.185260001;-0.208557527;0.166366227;0.388287123;1.317317809;-2.1408795;0.476198794;-1.039782962;-0.348682718;-0.247994954;-2.062275713;-0.261805246;-0.397428139;0.05108983;-0.958433366;2.806971852;3.174596406;0.206653428;0.700140563;2.8354741;0
12;2.028624644;0.980219982;-1.128093456;-0.168138242;-1.817996368;6.908917727;2.379904783;0.322468301;3.056310392;-0.06959903;-1.47094958;1.653281449;-0.036900747;-1.528809534;-1.999198757;0.047965703;0.793781124;-0.265214688;0.484668701;-0.550539161;-0.958192312;-1.238384223;1.12161429;-1.36635625;-0.188092646;0.52436255;-0.849894698;-1.66623827;-0.104811445;-0.748754982;-1.440183767;0.386170821;-1.040834216;2.02108475;-0.166723258;-1.381186563;0.663848029;-0.796065017;0.322575421;-1.002937232;-0.510904999;0.066243619;-0.177862271;-0.209612814;-4.50523659;2.197967638;1.868719298;-0.032529988;1.54578115;1
13;-1.648686251;-2.173186037;1.498762687;0.77141021;-1.320248999;-2.154848693;0.461034432;0.653757513;-0.261797756;-1.135881134;-1.951868824;-3.412460891;0.301344684;-1.967481366;-3.020688213;-0.506582082;0.275541932;-1.497513359;0.445019593;-1.499480506;-3.238890557;-0.264711822;2.844515231;-1.763143389;-1.265976752;-0.2687508;-1.648279555;0.555093335;0.252297142;-0.54910359;-0.971321657;1.110599478;-1.351609381;-2.272990617;0.869636003;-2.420419899;-0.078070062;0.835564882;0.943606116;1.782077741;0.107798859;0.957635681;-0.271977737;-0.121353038;-6.240271588;2.300971875;-0.194407322;1.198575861;0.685384576;0
14;-2.767149171;-2.739922846;1.456583873;0.444763119;-1.9238436;-1.027849887;-0.208535656;-1.034199482;-0.811038228;-1.278610005;-3.566369921;-6.616444388;-0.845667629;-1.168385164;-2.014384315;-0.79760014;-0.056086605;-0.8355349;-1.028013831;-1.547777062;-2.275198869;0.129740006;1.312876593;-3.849906334;-0.883417458;-1.467885354;-1.849609131;-1.039734326;0.084060837;-1.452952559;-1.051940237;-0.266125081;-1.457560254;-1.632045074;0.259490975;-2.448380534;-0.675605517;-2.127025006;0.885249022;-1.051705109;1.151032769;0.73948205;-0.648815604;0.063499925;0.247567591;1.787072946;0.684781073;1.626579852;0.693879698;1
15;-2.564936979;-2.530048851;0.717447313;1.782953844;-2.307942266;0.02543511;-1.431439454;-0.859711079;-1.454309426;-0.182827002;-4.38487261;-2.770634505;1.680240759;-1.750022494;0.165227604;-0.087219361;1.048388853;0.002830341;-0.093993582;-0.113711695;0.294279573;1.72373583;2.090984649;-2.260627978;-0.025208837;-0.904737192;-0.082087;-0.175993497;0.254111709;-1.451255853;0.802265272;-0.37379683;0.079719469;-0.619157055;1.0655328;0.549946966;-2.872972199;0.056563646;0.522568182;0.050208101;0.145658917;0.227722579;-0.395012634;0.759725605;0.051773382;0.284291977;0.279163005;0.807874397;0.220681975;1
16;0.281485163;-0.890874577;-2.202468861;0.831179254;2.172602107;-0.264796329;-1.239025584;2.109467385;-1.440487431;2.40730329;2.014363038;-1.333117086;2.088054757;0.228788795;-0.052326649;3.021839874;-0.099876734;0.243344948;2.800809037;0.320796688;-0.748201004;5.39912403;2.774936277;2.302621879;0.18026878;1.575409531;0.402109029;2.557593497;1.586775071;0.692395764;3.288948088;-0.171433027;2.830862986;-3.135850474;3.147522318;4.622030437;-3.444063812;1.0680846;1.223673163;0.066350694;-0.793681162;0.825633178;-0.160657809;0.394120163;-3.53953568;1.993380141;-3.288939688;-1.603295786;2.088398692;0
17;-0.69010163;-1.5223929;-2.258254993;0.062535514;2.066066875;-2.143130284;-0.419717637;3.106383481;-1.775218518;1.742114106;6.282276623;-1.857540258;-1.440785942;1.67738305;-2.683834333;2.684616638;-1.28922471;0.053098078;2.269721346;-1.507121382;-2.981556956;5.029327192;1.267263438;0.989593556;0.012701168;1.411430315;-1.474929821;-0.02900308;1.759799163;-0.339667304;-0.183602264;1.629326;1.270488364;-4.591985807;2.343628791;1.381786077;-1.421603091;0.116945443;2.713735961;-0.068153615;1.281191273;2.030505459;-0.994891412;1.332231402;-2.185062132;3.482369464;-1.787433674;-1.002784841;3.526562626;0
18;-2.310774621;-1.821376129;-0.158397695;0.330528059;-0.975825221;-7.590067007;-1.830708643;0.775696679;-2.53455137;-0.992837354;3.898669258;-1.160476392;-2.01367901;0.437163212;-0.825476616;-0.863188909;-0.639072996;0.825961119;-0.384832458;-1.492719828;-0.309517563;-2.511167769;1.149234719;-3.061806828;0.402463585;-0.552758048;-1.338896906;-2.702198757;1.681081059;-2.136325724;-3.157927845;0.526872645;-2.201443141;-2.584067118;1.200909239;-4.106900421;0.727603319;-3.680466986;1.895002156;-3.001262701;2.0556602;1.874669674;-1.158656431;1.431492842;1.184808749;0.158422573;1.437435137;-0.900368386;-0.107219116;0
19;-4.644896722;-3.504762855;-4.145570003;0.126459955;-5.13924065;-7.293800876;0.02192167;-0.853214742;-2.41104205;-1.447302151;-1.370144112;-3.319962637;-0.256948678;-0.697125261;2.907158085;-1.513715827;-0.629915772;0.192513811;-2.092524754;0.873499786;3.61295041;-3.391319093;1.559988419;-0.133155582;-0.278552637;0.831774618;1.125592347;-1.387744462;-0.0147786;-0.682295319;-0.343320598;1.310847986;0.178306277;4.110957308;-0.183166773;-0.302870954;0.077727507;-3.016055012;0.254123849;-2.230547727;0.706015484;0.393722251;-0.240303785;0.253740242;3.628666031;0.062462189;2.770109605;0.074532797;-0.182318158;1
20;-6.293766967;-5.807409716;-5.436460751;3.087968768;-6.947691677;-3.266957672;2.149491735;0.519083832;-5.06845244;0.900337988;-0.075565064;-4.865544043;2.609578892;-1.311617573;0.563456288;1.100188072;1.758634852;0.89522186;-0.358676619;1.370756952;1.197364831;1.664659066;-0.006034078;2.865779218;0.644809029;5.219711379;1.514035437;0.516253761;0.01933301;1.735728992;3.144844361;7.598285037;4.65589145;3.481360138;0.335417984;4.94159316;-0.662457156;2.576324182;-0.606822926;1.942875516;0.81500086;-0.257318281;0.343869795;0.537391376;-0.473403155;0.004953963;-0.10615034;-1.080482297;-0.075699775;0
21;-0.863426409;-0.012494616;1.900310033;2.694027773;2.797389376;2.257243661;0.029099151;1.373032475;0.431860909;1.468553687;2.448798998;0.321471115;2.486468605;-1.700620413;-0.197164925;1.065601583;2.570775709;2.283362645;2.065956585;2.304113065;0.98531878;2.055088047;0.003751202;2.334344475;1.582375201;6.418788111;2.2234946;0.436952291;1.975219412;2.754487783;5.213953635;4.629120572;5.267643719;3.918612931;1.897500469;4.463423315;1.303274381;3.05268942;-1.995131912;2.365951707;-0.263767337;-1.247636893;1.604840418;1.039532023;-0.564092526;0.11674187;1.014170846;-0.021039325;-0.184353088;0
22;5.814939547;6.685466412;0.003012373;-1.360228286;6.77235133;11.53707743;0.047311601;1.127728433;8.359719117;0.170803392;-0.041883815;8.301848452;-0.819996651;-0.164782597;-0.295033949;0.719973481;-1.889414868;0.363598635;2.410906884;1.928757423;1.142960693;-0.050962807;-0.10203232;0.779469043;0.024780798;5.560949372;1.804445217;-1.821975362;0.981065394;3.195501698;3.37722632;1.173157626;4.578630842;4.024216103;1.766457106;3.676941468;1.642526035;0.83289662;-0.524080222;0.218888887;-0.921960909;-0.403958592;8.980637913;1.136902645;4.703285469;-0.095855725;4.425934295;-0.105558631;0.112264596;0
23;4.355860295;4.344676442;-0.107482738;-2.530437949;2.883287591;2.467281321;-0.103071099;1.362488071;3.792350436;0.34476467;2.343339953;4.373256143;-3.48378219;1.207433041;-1.040068106;0.830256447;-3.397643183;-0.020377401;0.813171676;-0.104128111;-0.153434724;0.02422254;-0.05444172;-0.760569298;-0.08430451;0.744648189;-0.250248447;-3.232274766;0.915739504;2.507467077;-0.454134612;2.313332248;-0.096096819;2.519990278;1.456296799;-0.95899965;0.364791887;2.384393596;0.851680183;2.484342351;1.092473915;0.812441897;5.416429205;0.00139851;1.601784339;0.12086803;0.950791061;-0.189317175;0.080870938;0
24;-0.699860997;-1.312278676;-0.041079841;-2.396959687;-0.876839798;-3.329919146;-0.054309248;0.618486314;-0.607589056;0.170056148;0.041687611;-3.052753834;-3.286764432;-0.853447852;-0.084654169;-0.049235514;-1.380454675;0.519546009;-1.885476351;0.838790219;1.308701736;0.07694541;-0.032636803;-0.393927143;0.346244864;0.335573295;0.679333175;1.725111721;0.552272665;1.834945019;2.241776306;2.076301281;1.07048215;4.348184237;-0.32262086;1.460509656;1.343988938;3.99371257;-0.221894413;5.644578969;2.071936592;-0.086276152;-2.685833305;-1.196046359;-2.939136689;0.166786555;-2.576059227;-0.031774905;-0.103548225;0
25;0.111282338;-1.528443393;0.161521565;-3.365916006;-1.048057915;13.20710371;0.076473495;1.369169668;0.055423527;0.793433166;0.209321449;-1.345420354;-2.350933741;-3.422786172;-1.901899036;1.104406302;-2.198674661;0.490661888;-0.521598258;0.522885019;-0.83178067;0.017518947;0.168409263;-1.370763597;0.004297085;1.138183079;0.65467784;3.179439304;0.208812024;1.162434042;3.733038552;1.014596329;2.84486271;0.845467819;-0.275590903;4.453230892;2.092928401;3.092071009;-1.318677823;3.19011636;0.216937845;-1.044156383;1.364212539;-1.150457025;1.124348233;-0.069785421;0.046427428;-0.060700587;-0.103819919;1
26;2.830401202;1.018563514;-6.483266014;-1.080782291;0.523241747;13.36033729;1.730679351;2.052998152;2.670466608;2.08815614;0.464336447;0.926749766;-1.363969226;-2.775604302;-2.83795806;2.171477774;-0.822783084;1.813322477;1.180368618;-0.670311829;-1.731209033;3.640824906;0.003993716;-1.851494801;1.570693084;-1.47341096;-0.883006987;-0.001045916;-0.815375159;0.956125839;1.546166908;1.209955745;0.113155592;1.351339847;-0.580124898;2.036271923;-0.506127772;2.869823183;0.028259665;3.101815373;-0.177650348;-0.10951019;4.277909596;0.27614905;4.884866859;-0.022818808;4.283401489;-2.690127362;0.027699969;1
27;0.427501795;0.059169696;-6.069856196;1.1532113;2.445770363;-1.696117192;0.860377833;1.053376892;3.552347993;1.988712713;-2.49057856;0.410639552;0.738490197;0.083205558;-2.494839241;2.451401099;0.497807332;0.49436556;0.13355987;-1.048796172;-1.709674359;3.42303261;1.170145629;-0.735153211;1.102440134;0.195510823;-1.103590959;-1.813884374;-0.052756542;0.341811339;4.002417558;0.985794323;0.12644637;0.776934196;-0.004646652;-0.284445853;-2.510759961;3.881998194;0.670908003;5.004235633;0.002417005;0.524653949;1.301009109;1.421620916;2.322574672;-0.005364763;3.169689681;-2.830907962;-0.133921472;0
28;-1.558622689;-1.367247628;-7.020106722;-0.955130528;1.36227066;-5.56458384;-0.013448114;-1.474125629;-0.290309486;-0.324542375;-5.835334515;0.59789124;-0.936695995;-1.197993001;-1.193230787;0.459464943;-1.559916571;-2.035949857;-0.637274539;-1.499885839;-1.888981706;1.955689735;-0.849114864;-1.130933123;-1.107661312;1.029975762;-1.433355453;-3.358542261;-0.677194492;-1.945687716;3.615261301;-1.460563907;-0.218438997;-1.558952197;-0.741788917;-0.807658573;-2.037885936;1.914968213;0.678836687;2.334362969;-0.266203878;0.505098092;-2.199096835;1.383446443;2.693530915;0.001889365;4.475483163;-5.261743448;0.064201959;1
29;0.270198293;0.431910427;-4.35321531;-0.033383119;-2.868288598;-1.951929742;-0.369466431;-3.118804913;0.585075504;-2.689081981;-7.633671895;-0.017626554;-0.442789297;-5.361798194;2.736741284;-3.32914993;0.155343104;-0.420461462;-2.526136582;-0.884738444;1.184004823;-4.064083476;-1.628687769;-2.482126725;-0.207592873;-2.907373624;-0.936308119;-3.085563443;-0.015010968;-1.951105878;-2.068893857;-4.948000017;-2.902020264;0.560375437;0.001838001;-2.858815649;-2.903638874;-2.927654504;0.664458866;-2.235319856;0.376399484;0.568824438;-3.065906298;-0.214934918;2.13574621;-0.033150697;-2.40956841;-5.599741866;0.13108049;1
30;-1.70055977;-2.105013244;1.898945231;2.547302488;-4.604687262;0.854182908;0.032851026;-0.96567515;-2.038916094;-0.688913783;-3.509707894;-2.723721354;1.745676312;-5.59581464;0.417823367;-1.060757986;3.084066068;0.943661283;-2.048148734;-0.612845897;-0.032168615;-0.777107992;0.783774315;0.120811361;0.313946727;-3.497361905;-0.748843518;1.294701934;0.073428096;-0.318574791;-1.858953446;-0.546112255;-2.058794965;0.217279403;-1.534101469;-1.986064201;-4.085311454;-1.898268803;-0.827885587;-3.339983954;0.4842762;-0.388497281;-1.919153581;-1.262352279;-0.56291576;3.050204618;-4.836840193;1.390129619;1.06285438;0
31;-5.687258071;-7.037223125;2.473191784;1.416266497;-5.662032782;-0.762393655;1.133550318;2.317331243;-5.704481191;1.617147378;2.118800804;-5.826390477;-0.353252574;-5.954379114;-1.9109197;2.015322861;1.918165096;-0.391976766;0.719492613;0.244299442;-1.009530651;1.722964014;2.490199276;3.290644908;-0.413135623;0.937470369;0.155081432;3.471467058;2.040334717;0.875116589;1.406277208;3.271106855;1.577726195;2.87385152;1.528368251;2.47652784;-3.406761943;2.307606411;-0.669588305;0.510125836;1.103432373;-0.415022254;-0.329124946;-0.911927621;-1.922200941;-0.954584332;-1.775303904;-0.347430844;-1.642092874;1
32;-3.343408403;-4.293134158;9.203190378;0.158305623;-3.49907278;-1.369893444;1.292008994;1.253818183;-1.027913063;-0.2674024;-0.157714286;-3.584449954;-0.859554547;-3.281228071;-3.247123079;0.07271737;0.08897095;-1.297314872;0.511879408;-1.154606115;-3.024881833;-2.475924608;0.255192826;1.705809808;-0.953339386;0.178378528;-1.262405369;0.174142501;0.994601418;-0.08132671;1.150464423;2.07603604;0.392700595;-0.381780878;1.517951299;1.171345635;-0.552801591;0.424678592;0.166635803;0.054763095;1.45784304;0.212907582;0.808101935;0.429870754;-1.860132055;-1.581932785;-4.264323535;-1.923176452;-1.489194985;0
33;-1.45174499;-1.46421842;4.460280247;0.084096806;-1.467889052;-2.345169486;0.136203779;-1.282129321;1.166317944;-2.329217436;-5.886057187;-0.073416446;-0.270774114;0.044449939;0.075079388;-2.301664786;-0.359638086;-0.9831485;-2.66981487;-2.481503855;-0.072704134;-3.937385499;-2.898401173;-0.770440401;-0.827890879;-3.087897327;-2.469589673;-2.118311822;-1.29403547;-1.506339989;-0.588052603;1.678932127;-1.481383673;-0.083089696;-2.257688221;0.284510906;-1.774781778;0.620082415;-0.035375858;0.741298029;0.582386514;0.261151959;1.703237768;0.503770149;-0.011610042;2.212029182;-2.715595217;5.035518425;2.192405355;0
34;-2.732235514;-3.592275117;-7.272892414;0.395737563;-6.029341077;-1.819459508;-1.157203734;-2.73391618;-0.715005536;-2.535370522;-3.207491415;1.656166579;0.059291356;-7.075535445;0.734664231;-2.931357187;1.283776855;-0.488774765;-3.381016603;-0.32699882;0.291874096;-1.967652853;-3.684513922;-0.181815213;-0.695072078;-1.600944494;-0.283974302;-2.422248553;-2.125872753;-2.163091886;-2.405931132;-1.695456284;-1.200922668;-0.529590512;-4.39989673;0.466213771;-4.490082371;1.137303489;-1.920206679;2.919071741;-0.360826034;-1.286298581;-0.180561186;-0.695871893;0.329224876;-2.735980311;1.21112992;2.349129892;-2.151465612;1
35;-1.303612631;-1.973824488;-4.175666657;-0.461165432;-3.804243386;-3.464183778;0.152202238;-2.601007877;-1.705549608;-1.442120348;4.189930119;2.576584596;0.170149905;-0.074931406;-0.024407926;-1.809433525;0.566657248;-0.517868918;-1.01757418;1.306422637;-0.002393849;0.222844974;-2.80404343;1.921511432;-0.149724471;1.183276848;1.368698585;0.996735674;-0.118483133;-0.978957434;0.417173174;-0.792707427;0.964087852;-0.013619387;-0.767794791;1.470672686;-0.272756173;-3.302333947;-1.687355033;-3.891337252;-0.102128935;-1.02697625;-1.725379495;-0.108813509;0.014021057;-5.885129335;4.399429085;-0.613174981;-4.844747982;1
36;-2.437599481;-1.936818766;-2.08950853;1.137864173;-0.695982233;-6.929782317;0.899051846;-1.444654823;-1.923567519;0.087500051;2.009357125;-0.400360796;0.777324822;4.153430635;-2.093380969;0.502362852;0.015984318;0.059823643;1.15507458;0.664596775;0.26752372;5.021637061;-1.277027117;0.22426864;0.223584545;1.84548298;0.494803761;1.151037025;0.987869991;0.641376354;2.279479315;2.287683744;1.877630706;5.439050133;2.757912025;0.416144848;-0.361103772;-0.359486498;1.293353263;-1.201397487;0.537038754;0.62850398;-2.109926729;0.826650176;1.210178693;0.184196214;3.009928556;2.730016133;-0.025880116;0
37;-4.025968773;-3.159313307;-4.760213305;-1.272045714;-2.632966839;-4.221300738;-0.725785649;-2.182937748;-0.995982362;-0.32175344;-1.738609269;0.727336557;1.393556335;4.417150932;-3.584475503;-0.363956133;-1.989323849;0.382965729;1.996908249;-0.71271448;-2.169142003;4.950855747;-2.147669207;-1.364081667;0.256419598;2.606550072;-0.788767243;0.833139948;1.518962594;-0.834021195;3.133908809;4.626982939;2.298365019;0.956381695;3.377267127;0.360215002;0.02295549;0.728880334;3.042815325;-0.231300465;-0.593124001;1.633724999;-2.448766877;0.56199708;3.193598416;2.687537123;1.525553055;2.215146221;2.286575781;0
38;1.231524538;0.777158885;-6.782070636;-0.970143371;1.045000583;1.320653762;-2.52511087;-2.567424781;-1.458866694;-1.780217822;-5.61343858;3.847878069;0.445104911;-1.574135086;-0.639248252;-2.447349854;-1.47397638;0.326754305;1.407767395;-0.562319362;-0.471078193;-0.474623228;0.071389536;-1.729129354;0.421847867;0.333317862;-0.529243435;0.212656488;0.741744014;-2.550130376;0.977806131;3.95495024;0.245940317;-0.959359953;2.220230849;-0.634065009;-4.149522666;-0.484504399;2.303462045;-1.198957801;-1.544141471;1.252626929;-2.247436633;0.151620986;0.568500454;4.250433297;0.157389615;-4.094872696;4.331014066;0
39;0.491616108;-0.27979726;-5.656257668;0.26663972;-2.868968863;3.569121275;-3.202975676;-0.119606565;-3.843994974;-1.097254975;0.11568176;4.096429791;1.62419732;-8.550800983;2.811232507;-1.468687908;-0.405509554;2.462221297;1.687410383;2.00452991;3.436452551;-2.013154512;2.730616455;-0.387181007;2.215648544;1.13845364;2.034911253;2.527581164;1.368094494;0.839925825;-1.097760692;2.560779963;0.670280757;4.193113942;0.032650462;-0.267041015;-0.018167195;0.241771402;0.378092713;0.373161791;-2.64744818;-0.330614543;-0.970098;0.786943114;4.803053423;3.899052344;5.835003811;-2.541703863;4.17323896;0
